Date,Question,Topic,New/Review,🌟,Need Review,Notes,Column 1
,415. 字符串相加,"TikTok, Basic",Review,,No,while i>=0 or j>=0 or add,
,204. 计数质数,TikTok,Review,,No,"p[i]表示小于等于i的质数数量。从i=2开始，p[i]==0 <=> i是质数。则从i*i开始，标记i的倍数为合数（通过令p[i*k]=-1来实现）。并且，p[i]被赋值为p[i-1]+1

如果遇到p[i]<0，则i为合数，p[i]=p[i-1]",
,2523. 范围内最接近的两个质数,TikTok,New,,No,埃氏筛，二分找到第一个大于等于left的质数，再遍历所有质数对，找到距离最小的那一对,
,59. 螺旋矩阵 II,TikTok,Review,,No,,
,2640. 一个数组所有前缀的分数,TikTok,New,,No,,
,787. K 站中转内最便宜的航班,"TikTok, Basic",Review,,No,dp[t][i]表示经过t-1次转机，到达i城市的最小费用。模拟每次转机，即从0到k遍历转机次数，每一次遍历时，都遍历所有航班，用来更新到达每个目的地，正好x次转机所需要的最小费用。,
,236. 二叉树的最近公共祖先,TikTok,Review,,No,,
,1123. 最深叶节点的最近公共祖先,TikTok,Review,,No,dfs函数返回：以root为根的子树的所有叶子的最近公共祖先，还有从叶子结点往上数，到root的深度,
,1530. 好叶子节点对的数量,TikTok,New,,No,dfs(root): return all the leaves and their distances to root(a dict),
,1792. 最大平均通过率,Daily,Review,,No,,
9.2,2096. 从二叉树一个节点到另一个节点每一步的方向,TikTok,Review,,No,dfs搜索路径时，不要传递字符串，不然会超出内存限制，应该修改path数组,
,1860. 增长的内存泄露,TikTok,New,,No,,
,3025. 人员站位的方案数 I,"TikTok, Daily",New,,No,,
,2414. 最长的字母序连续子字符串的长度,TikTok,New,,No,,
,886. 可能的二分法,TikTok,Review,,No,,
,2402. 会议室 III,TikTok,New,,No,优先队列,
,25. K 个一组翻转链表,"TikTok, Basic",Review,,No,,
,51. N 皇后,"TikTok, Basic",Review,,No,,
,2422. 使用合并操作将数组转换为回文序列,TikTok,Review,,No,"尽量保持左指针指向的，和右指针的，是一样的. 如果哪边更小，就试图合并哪边。
到最后l==r时，数组只有1个数字，那就是回文序列。",
,2468. 根据限制分割消息,"TikTok, Meta",New,,No,枚举&模拟,
9.3,146. LRU Cache,"TikTok, Basic",Review,,No,"注意init时，self.dummy.next=self.dummy.prev=self.dummy
removeNode仅完成删除与返回，三行代码
getNode(key)的任务是先删除node，再把它pushFront放在最前面
pushFront完成插入和更新字典
put操作首先检查key是否在self.key_to_node中，如果在，就先remove掉它；接着创建新Node并插入；最后检查是否超过容量",
,1405. 最长快乐字符串,TikTok,Review,,No,"每次都取当前剩余次数最多的字符来进行构造(只是加一个，不能加两个！）
比如a=5.b=2. aabbaa是不对的，此时a=1,b=0. 
应该是：a(4,2)a(3,2)b(3,1)a(2,1)a(1,1)ba. 目的是尽量让a=b=c的情况出现",
9.4,112. 路径总和,Basic,Review,,No,,
,110. 平衡二叉树,Basic,Review,,No,,
,113. 路径总和 II,Basic,Review,,No,"标准回溯模版，时间复杂度O(N^2),因为res.append(path.copy())的复杂度为O(N)",
,114. 二叉树展开为链表,Basic,Review,,No,"分四种情况，左/右为空/不空。其实可以分成两类，即左边空或不空
记住root.left=None",
,3516. 找到最近的人,Daily,New,,No,一觉醒来，发现世间无人会写此题，只见我信手拈来，唰唰30秒便正确答出，引起整个计算机学界震惊，一时间，谷歌、微软、亚马逊、腾讯、华为、阿里等公司纷纷向我抛出橄榄枝，薪资随我填写，休假随便休，只求我入职他们公司……,
,117. 填充每个节点的下一个右侧节点指针 II,Basic,Review,,No,每次有node被pop出来的时候，连接它的孩子。用两个指针prev和cur去跟踪下一行,
,129. 求根节点到叶节点数字之和,Basic,Review,,No,每次到叶子，添加一次答案,
,173. 二叉搜索树迭代器,Basic,New,,No,"用stack来实现中序遍历。可以使时间复杂度为O(1),空间复杂度为O(h),其中h为树的高度。因为栈里面始终只放某个节点的左边孩子们，最多为树的高度。",
,895. 最大频率栈,TikTok,New,,No,"stacks用来装一系列stack,分别装出现次数为1，2，3...的字母
然后再用一个字典记录freq就行了！",
,76. 最小覆盖子串,"TikTok, Daily",Review,,No,,
9.5,2749. 得到整数零需要执行的最少操作数,Daily,New,,Yes,"设x = num1 - k * num2，则问题转化为：能否用k个2的幂次（允许重复）表示x？
找x的上下界，并且枚举。可对x = num1 - k * num2画图，k为横轴，x为纵轴。则答案为这条直线在第一象限上的某些点，通过分析x=2^(i1)+...2^(ik)这个等式，找到可能的x值。    
由于2的幂次最小是1，所以x>=k  
那么x最大为多少？x最大时，k最小，即k=x.bit_count()",
,10. 正则表达式匹配,"TikTok, Basic, Meta",New,,No,"base case: s为空，p为空，True；s为空，p为x*x*类型，True
每次比较s[i], p[j],如果不匹配且p[j]为*，且s[i]与p[j-1]匹配，则有三种可能，匹配一个字母，匹配零个字母，匹配多个字母
如果不匹配且p[j]为*，且s[i]与p[j-1]不匹配，则看看匹配零个字母这种方案是否可行
",i
9.6,91. 解码方法,"TikTok, Basic",Review,,No,"        dp[i+1]表示可以解码s(0,i)这一段的方法数
        if s[i]可以作为两位数的第二位，dp[i+1]+=dp[i-1]
        if s[i]>0, dp[i+1]+=dp[i]",
,97. 交错字符串,Basic,New,,No,"dp[i+1][j+1]表示s3可以被s1(0,i),s2(0,j)交错表示，状态压缩",
,63. 不同路径 II,Basic,Review,,quick review,dp[i+1][j+1]表示遍历到grid[i][j]时的方案数。初始化时，dp[0][1]=1,
,120. 三角形最小路径和,Basic,New,,No,先写状态转移方程，再写初始化。可以看到这里只需要初始化dp[0][0]=0,
,123. 买卖股票的最佳时机 III,Basic,New,,No,"        #dp[i][j]表示在第i天过完的时候，状态为j，能获取的最大利润
        #0:不操作，1:第一次持有，2:第一次不持有，3:第二次持有，4:第二次不持有
注意从二维变成O(1)的空间优化思路！",
,198. 打家劫舍,Basic,Review,,No,先写二维数组，再优化空间到O(1),
,3495. 使数组元素都变为零的最少操作次数,Daily,New,,Yes,"对一个数字除以 4 并向下取整：**二进制右移两位**
对于一个数字，如果它的二进制表示有n位，那么它需要(n+1)//2次操作可以变成0
get(x)计算计算从1到x。所有数的二进制的(位数+1)//2之和",
,740. 删除并获得点数,DP,Review,,Yes,如果选了x，删除并且获得点数，则所有x+1和x-1都一起都被删掉，所以把所有其它的x都删掉并获得点数,
,139. 单词拆分,Basic,Review,,No,"dp[i+1]表示字符串s(0,j)可以被字典组成。对于每个结尾i,枚举起点j，看s[j:i+1]是否在字典中并且dp[j]==True",
,2251. 花期内花的数目,bisect,Review,,No,"比如这个人在T时刻到达，那么他看到的花的数量为：[0,T]之内所有开放花的数量-[0,T-1]之间所有花败的数量",
9.7,93. 复原 IP 地址,TikTok,Review,,No,"dfs(i):
            #这次必须从i开始找一个一位数或者三位数",
,1352. 最后 K 个数的乘积,TikTok,Review,,No,"只需要一个成员：self.products=[1,如果想要从后往前跨跃0，不行，只能返回0，所以数组里面不要放0及其之前的pre_product]",
,1304. 和为零的 N 个不同整数,Daily,New,,No,,
9.8,1317. 将整数转换为两个无零整数的和,Daily,New,,Yes,"从低位到高位，如果x>=2，则一个数被赋上low(x/2),另一个high(x//2)
如果x<=1,则向高位借一位
循环条件为while n>1，因为n>=2时才有必要分，n<=1的话也没办法借位了",
,41. 缺失的第一个正数,Basic,Review,,Yes,"记得在交换前，一定让index=arr[i]-1
还有循环条件是 while 1<=arr[i]<=n and arr[i]!=arr[arr[i]-1] 因为此时的arr[i]一定是可以对应到一个位置的，把它放到需要的位置上
不可以是arr[i]!=i+1, 因为i+1不一定在这个数组中存在，这会陷入无限循环",
,1539. 第 k 个缺失的正整数,TikTok,Review,,No,用一个数组miss记录到i为止一共缺失了几个整数，然后用bisect+分类讨论,
,152. 乘积最大子数组,"Meta, Amazon, Daily, TikTok",Review,,No,"注意初始化数组大小为n. minF[0]=maxF[0]=nums[0]  
用两个数组表示到某个数为止的最大/最小子数组乘积",
,2708. 一个小组的最大实力值,DP,Review,,No,"求最大子序列和。状态转移方程不同，maxF[i]=max(maxF[i-1], x, x*maxF[i-1], x*minF[i-1])
意思是可以不用选当前这个元素加入乘积",
,188. 买卖股票的最佳时机 IV,Basic,New,,"Yes, No",1:第一次持有，2:第一次卖出后不持有，3:第二次持有，4:第二次卖出后不持有,
,221. 最大正方形,Basic,Review,,No,,
,309. 买卖股票的最佳时机含冷冻期,"Basic, Amazon, Meta",New,,Yes,"冷冻期：如果当天卖出了，则第二天不可以买入  
0: 当天卖出，不持有  
1: 持有状态  
2: 不持有，且非当天卖出  ",
,708. 循环有序列表的插入,"Meta, Amazon, TikTok",New,,Yes,"分三种情况：链表长度为0，1，大于等于2

第三种情况，令cur=head.next, pre=head 
- 当找到符合条件的位置break
- 边界情况：insertVal>=最大值，或insertVal<=最小值
- pre=head再次出现（说明链表中所有元素都相同）",
,714. 买卖股票的最佳时机含手续费,TikTok,New,,No,,
,133. 克隆图,"TikTok, Basic",Review,,No,,
,42. 接雨水,Basic,Review,,No,"双指针，一定要**先更新最大值**，再判断往哪边加水。  
可以考虑普通的做法，即用两个数组保存从左边/从右边遍历时见过的最大值，这个最大值，是包括x本身的，所以要先更新最大值。",
9.9,46. 全排列,Basic,Review,,No,dfs()表示一直搜索，直到path的长度满足要求，需要从当前路径中没有找过的index中选择一个。所以需要用一个数组来记录当前路径是否访问过某个index。,
,47. 全排列 II,Basic,Review,,No,先排序，遇到1112这种情况，比如此时想遍历四个数，然后选取答案的第一个数字。如果没有选第一个1/第二个1，直接选了第三个1，那么它的情况和选第一个1一模一样。所以只需检查，是否当前数字与前一个数字一样，并且前一个数字没有被使用过,
,70. 爬楼梯,Basic,Review,,No,排列型DP,
,377. 组合总和 Ⅳ,Basic,Review,,No,"排列型DP: 外层循环target，内层循环可以用的nums. 初始化所有x, 令dp[x]=1",
,279. 完全平方数,Basic,Review,,No,,
,140. 单词拆分 II,Basic,Review,,No,"用记忆化搜索又做了一遍。dfs(i)返回, s[0:i+1]的所有可能被表示的方案",
,416. 分割等和子集,Basic,Review,,No,"找一个子序列，它的和为target。本质是选或不选。dp[i][j]表示遍历到第i个数字时，可以找到一个子序列，他们的和为j
为什么外层遍历每个可选的数字，内层遍历可以被表示的和？从「子集型」回溯的模版一思考即可。01背包。",
,494. 目标和,Basic,Review,,Yes,"需要转化！设所有正数的和为P，所有负数的绝对值之和为N，P+N=sum(nums), P-N=target
解得P=(target+s)/2，转化为416题！",
,518. 零钱兑换 II,Basic,Review,,No,"for i, x in enumerate(coins):
            for j in range(amount+1):
背包问题，内部最好这样遍历",
,844. 比较含退格的字符串,"Meta, Google, Amazon, TikTok",Review,,No,双序列双指针，两边都用循环，指向下一个被比较的元素。如果其中有一个<0了，另一个>=0，那么另一个必定指向#,
,2327. 知道秘密的人数,Daily,New,,Yes,"用known[i]表示恰好在第i天知道秘密的人,并且它在[i, i+forget-1]期间都知道秘密。。那么在未来的第j天，第i天贡献了known[i]知道秘密的人。其中，j属于[i+delay, i+forget-1]",
9.1,2831. 找出最长等值子数组,Amazon,New,,Yes,"先用的是滑动窗口+Heap，但可优化:建立一个map,key为正数，value为一个list，里面记录所有值为key的index.
遍历每一个分组,用滑动窗口。
total_length=index_list[r]-index_list[l]+1#删除前的长度
equal_cnt=r-l+1#相同字符的个数",
,2772. 使数组中的所有元素都等于零,,New,,No,,
,1733. 需要教语言的最少人数,Daily,New,,Yes,贪心思想，找到所有不能和朋友交流的人，然后思考让他们学习哪门语言比较好。肯定是选其中最少人不会的语言好。,
,694. 不同岛屿的数量,TikTok,Review,,No,"在完成dfs的时候（对当前的格子，他上下左右都无路可走了），这个时候往path里面加一个0
dfs参数为当前坐标，和来到这个坐标时的方向。前序遍历将这个方向加入path中。",
9.11,767. 重构字符串,"TikTok, Amazon, Google, Meta",Review,,No,从最频繁，到最不频繁分配，每次隔一个位置放一个字母,
,72. 编辑距离,Basic,Review,,quick review,,
,2785. 将字符串中的元音字母排序,Daily,New,,No,,
,1143. 最长公共子序列,Basic,Review,,No,,
,918. 环形子数组的最大和,Basic,New,,No,"两种可能：找正常的最大子数组和，找正常的最小子数组和。如果最小子数组和==sum(nums),则不能用",
9.12,684. 冗余连接,Basic,Review,,Yes,注意union find的写法。,
,1135. 最低成本连通所有城市,Amazon,Review,,Yes,"Kruskal算法寻找最小生成树。先按权重从小到大给edge排序，接着连接每个edge两端的顶点。每次连接，图中的连通块数量-=1。
等到连通块数量==1时，说明最小生成树已经生成。",
,827. 最大人工岛,"TikTok, Amazon, Google, Meta",Review,,Yes,"需要给每个岛屿编号，编号从2开始。用编号直接修改grid[i][j]的值
有一个字典islands，里面记录每个岛屿的面积大小。key是从2开始的编号(len(islands)+2)
在一开始搜索并求面积的时候，每搜索到一个岛屿，就把它加入islands里面",
,1163. 按字典序排在最后的子串,Amazon,Review,,Yes,,
,924. 尽量减少恶意软件的传播,TikTok,Review,,quick review,"对于每个连通块，如果它里面只有一个initial malware，移除掉它，则可减少size个感染节点。那么，寻找最大的这样的连通块
dfs返回的数据：连通块大小，恶意软件数量，最小的恶意软件index。如果没有恶意软件，index返回inf",
,673. 最长递增子序列的个数,"TikTok, Amazon, Google, Meta",New,💗,Yes,"cnt[i]为考虑以 nums[i] 结尾的最长上升子序列的个数
dp[i] 为考虑前 i 个元素，以第 i 个数字结尾的最长上升子序列的长度",
,300. 最长递增子序列,Basic,Review,,No,,
,3227. 字符串元音游戏,Daily,Review,,No,,
9.13,45. 跳跃游戏 II,"Basic, TikTok, Amazon, Google, Meta",Review,❤️,No,"得用贪心做。#遍历每个位置（不是跳跃），更新 furthest，代表从那个位置能跳到的最远位置。
     #如果当前遍历到的i==curEnd,说明必须跳跃一次，curEnd 被更新为furthest（意思是可以跳到(curEnd, furthest]之中的任意一个位置。注意不枚举终点",
,3541. 找到频率最高的元音和辅音,Daily,New,,No,,
,261. 以图判树,"Amazon, TikTok, Meta, Google, Basic",Review,❤️,No,无向图判断无环：dfs 需要传递 parent 和 i,
,647. 回文子串,"Amazon, Google, Meta, Basic",New,,Yes,不管了我不优化了,
,435. 无重叠区间,"Basic, TikTok, Google, Meta, Amazon",New,❤️,Yes,贪心：每次选择端点最小的区间，这样能获得的取件数量一定是最大的,
,297. 二叉树的序列化与反序列化,"Basic, TikTok, Amazon, Google, Meta",Review,❤️,Yes,"用#代表空，注意用，分割不同的节点，先序遍历。反序列化时，用DFS（），每次pop出一个元素。
用先序遍历就是方便构造树",
9.14,271. 字符串的编码与解码,"Amazon, Google, Meta, Basic",New,❤️,Yes,"用前四位表示这一块的长度,然后加上这一块的实际内容
解码时，用 index追踪解码到哪里了，注意循环条件为while index<len(s)-3:
因为要确保当前循环包含了长度信息。",
,269. 火星词典,"TikTok, Amazon, Google, Meta, Basic",Review,❤️,No,"拓扑排序。用一个 map 装相对关系，map 里面的 value 是一个 set
建图：对于靠近的每一对单词，逐个比较每个位置上的字母。但凡遇见 不一样的，就可以知道两个字母的相对关系，break
还要注意，在建图的时候，如果 A 为 hello，B 为 hell，这种情况需要特殊处理",
,981. 基于时间的键值存储,"TikTok, Amazon, Google, Meta, Basic",New,❤️,No,用两个字典保存，分别是 time字典和 value 字典。每次 get 的时候二分查找，找到第一个<=timestamp 的时间点,
,8. 字符串转换整数 (atoi),"Amazon, Google, Meta, Basic, Daily",New,❤️,No,注意在执行res=res*10+digit之前，就要检查是否溢出！,
,143. 重排链表,"TikTok, Amazon, Google, Meta, Basic",Review,❤️,No,,
,77. 组合,Basic,Review,,No,,
,90. 子集 II,"TikTok, Amazon, Google, Meta, Basic",Review,,No,不需要额外数组记录某个index是否用过，因为for循环就是在遍历同一层的节点，若相邻两个节点都是“选2”则不必要，直接跳过即可,
,40. 组合总和 II,Basic,Review,,No,,
,47. 全排列 II,Basic,Review,,No,需要额外数组used,
,966. 元音拼写检查器,Daily,New,,Yes,"用一个Set和两个哈希表。第一个哈希表的key为word.lower(),value 为word,方便模糊匹配
第二个哈希表的key 为这个单词的所有元音字母变成?, 并且所有字母小写的样子
构造哈希表时，逆序遍历，这样哈希表对应的值就会是wordlist里面出现的最早的匹配词汇",
,20. 有效的括号,Basic,Review,,No,,
,235. 二叉搜索树的最近公共祖先,Basic,Review,,Yes,"直接原函数递归. 通过比较root，p, q的值，来确定往哪边子树搜索",
,133. 克隆图,"Basic, TikTok, Amazon, Google, Meta",Review,❤️,No,"1. 检查当前节点是否已被访问过，如果是，直接返回self.visited[node]
2. 为当前节点创建一个node_clone, 并且存入visited
3. 遍历当前节点的所有邻居，为每个邻居递归调用一次主函数",
9.15,377. 组合总和 Ⅳ,Basic,Review,,Yes,和爬楼梯一样做法,
,188. 买卖股票的最佳时机 IV,Basic,Review,,quick review,"- 初始化：不管在哪一天，当没有任何操作的时候，值为-inf
- 返回答案：返回最后一天的所有状态中的最大值。",
,97. 交错字符串,Basic,Review,,No,需要单独处理i==0或j==0的情况,
,205. 同构字符串,"TikTok, Amazon, Google, Meta",New,❤️,No,两个map即可,
,295. 数据流的中位数,"TikTok, Amazon, Google, Meta, Basic",Review,,No,,
,799. 香槟塔,"TikTok, Google, Amazon",New,❤️,Yes,用row=[pour[表示初始情况下，第0排的水杯数。然后遍历每一行，把每一行多余的水放到下一行去（每一次循环，创建下一排的容量数组）。,
,1530. 好叶子节点对的数量,"TikTok, Google",Review,,No,,
,155. 最小栈,Basic,Review,,No,用两个栈，一个存所有元素，另一个存可能的最小值，从底到顶为从大到小（**可以相等**）。,
,1935. 可以输入的最大单词数,Daily,New,,No,,
9.16,146. LRU 缓存,Basic,Review,,quick review,"注意 getNode()传入参数为 key,返回结果为 node
注意 removeNode（）方法体仅完成删除操作，两行代码",
,42. 接雨水,Basic,Review,,No,,
,153. 寻找旋转排序数组中的最小值,Basic,Review,,Yes,注意，每次 nums[mid]与nums[n-1]比较！,
,139. 单词拆分,Basic,Review,,No,,
,152. 乘积最大子数组,Basic,Review,,No,"注意，初始化mx=mn=res=nums[0]
并且mx,mn每次需要同时更新！！",
,19. 删除链表的倒数第 N 个结点,Basic,Review,,No,,
,230. 二叉搜索树中第 K 小的元素,Basic,Review,,No,,
,347. 前 K 个高频元素,Basic,Review,,No,,
,572. 另一棵树的子树,Basic,New,,No,,
,98. 验证二叉搜索树,Basic,Review,,No,"中序遍历，用一个变量CUR记录当前遍历到的值。CUR的变化必须是递增的
def dfs 必须返回True/False,并且考虑dfs(root.left), dfs(root.right)的结果",
,"75. 颜色分类
",Basic,Review,,No,终止条件为i<=r。因为i还有可能和l对换,
,310. 最小高度树,Basic,Review,,No,队列，剥叶子。注意edges为空的时候，返回list(range(n)),
,238. 除自身以外数组的乘积,Basic,Review,,Yes,"用三个长度为n的数组，left, right, res",
,169. 多数元素,Basic,Review,,No,,
,383. 赎金信,Basic,New,,No,,
,83. 删除排序链表中的重复元素,,New,,Yes,while cur.next 只要外层循环即可,
,621. 任务调度器,Google,Review,,Yes,注意每次循环必定有一个任务被执行，所以每层循环结束时，都要time+=1,
,438. 找到字符串中所有字母异位词,Basic,Review,,quick review,窗口右移时，matched可能增加或减少；左移时，也是,
,2334. 元素值大于变化阈值的子数组,TikTok,Review,,Yes,,
"9,17",2349. 设计数字容器系统,Daily,New,,No,,
9.18,387. 字符串中的第一个唯一字符,"TikTok, Amazon, Google, Meta, Microsoft",New,,No,,
,1353. 最多可以参加的会议数目,"Meta, Google, Paypal",Review,❤️,No,"用一个i表示当前有哪些会议加入executable Q了。外层循环用day,表示每一天安排哪个会议。首先把结束时间在day之前的会议从executableQ中移出，然后把开始时间在day及其之前的会议加入executableQ",
,3408. 设计任务管理器,Daily,New,,No,,
9.19,2554. 从一个范围内选择最多整数 I,Paypal,New,,quick review,,
,2524. 子数组的最大频率分数,Paypal,New,,Yes,"用一个字典存放，每个数字为key, value为一个stack，记录着这个数字的1次幂，2次幂....",
,359. 日志速率限制器,Google,New,,No,用set+queue。每次写日志的时候，首先从队列 buduan        ,
,1944. 队列中可以看到的人数,Google,Review,,Yes,从右往左遍历，保持栈中降序。一旦有人被左边的人挡住，则pop出去。,
,3484. 设计电子表格,Daily,New,,No,,
,7. 整数反转,Google,New,,No,从X的末尾一个个弹出数字，一个个加入REV的末尾. 但是在进行加入REV末尾的时候，需要提前检查是否回溢出！,
,403. 青蛙过河,"Microsoft, Google, Amazon, Meta, TikTok",Review,,No,下次最好直接写出记忆化搜索,
9/20,3508. 设计路由器,Daily,New,,Yes,lazy q，用 head 表示从第几个 index 开始，是有效的数据,
9.21,43. 字符串相乘,"Microsoft, Google, Amazon, Meta, TikTok",New,,No,注意细节！！,
9.22,528. 按权重随机选择,"Google, Paypal, Amazon, Meta, TikTok",New,❤️,No,二分查找+前缀和,
9.23,1293. 网格中的最短路径,"Google, Amazon, Meta, TikTok",Review,,Yes,vis[x][y][剩余移除次数],
,380. O(1) 时间插入、删除和获取随机元素,"Microsoft, Google, Paypal, Amazon, Meta, TikTok",Review,❤️,No,"查找O1:哈希表
随机：数组index
插入/删除数组O1：交换 到末尾再删除。注意对于哈希表，要先更新后删除，比如此时arr里只有一个元素的情况",
,1802. 有界数组中指定下标处的最大值,"Microsoft, Google, Paypal, Amazon, Meta, TikTok",New,,Yes,"nums[index] 的值被 最大化，意味着其它元素之和被最小化，即从index往左右两边走，最好的方案是每次递减1.
如果这样做的sum<=maxSum,即是合法的，要找到最大的nums[index]=x，需要采用二分x
计算sum需要O（1），定义cal函数，计算元素为cnt,最大值为x的单调数组的和",
,378. 有序矩阵中第 K 小的元素,"Microsoft, Google, Amazon, Meta, TikTok",Review,,No,,
,93. 复原 IP 地址,"Microsoft, Google, Amazon, Meta, TikTok",Review,,No,注意不想要leading zero 的情况：s[i]=='0' and j>i+1,
,1249. 移除无效的括号,"Microsoft, Google, Amazon, Meta, TikTok",Review,❤️,Yes,"用栈，遍历字符串，每次遇到不合法的右括号，把它的index放到set中
最后遍历完，如果stack中还有左括号，那么这些左括号的index也需要被remove掉！
两个set取并集",
9.24,43. 字符串相乘,TikTok,Review,,No,,
,133. 克隆图,TikTok,Review,,No,,
,45. 跳跃游戏 II,TikTok,Review,,No,"注意循环的写法。外层循环条件为while reach<n-1,也就是当前能到的地方不到n-1这个位置。内层循环则是while i<=reach，就是更新下一步能走到的最远的地方。循环结束时，更新reach=nextReach, step+=1",
,227. 基本计算器 II,TikTok,Review,,No,,
,1539. 第 k 个缺失的正整数,TikTok,Review,,No,,
,204. 计数质数,TikTok,Review,,No,,
,138. 随机链表的复制,"Google, Microsoft, Amazon, Meta, TikTok",Review,❤️,Yes,分成三步：复制节点，把copy node的random指针也连上，最后拆分两条链表。注意最后一步的循环条件为while cur.next.next,
,66. 加一,"Google, Microsoft, Amazon, Meta, TikTok",New,,Yes,从右往左遍历，找到第一个不为9的元素，并且把它+1,
,9. 回文数,"Google, Microsoft, Amazon, Meta",New,,No,只需要反转一半的数字。循环条件为x>reverse. 注意，奇数偶数位要分别处理，还有10000这种情况也需要在第一步处理,
9.25,14. 最长公共前缀,Google,Review,,No,,
,7. 整数反转,Google,Review,❤️,Yes,分情况讨论：sign=1或sign=-1时，都要考虑溢出的情况,
,1304. 和为零的 N 个不同整数,Google,Review,,No,奇偶分类讨论,
,13. 罗马数字转整数,Google,Review,❤️,No,,
,26. 删除有序数组中的重复项,Google,Review,,No,,
,346. 数据流中的移动平均值,Google,Review,,No,,
,1768. 交替合并字符串,Google,New,,No,,
,67. 二进制求和,Google,New,,Yes,可以用zfill给左边全部填上0,
,3355. 零数组变换 I,Google,Review,,No,,
,2534. 通过门的时间,Google,Review,,quick review,,
9.26,1167. 连接木棍的最低费用,Google,New,,No,,
,670. 最大交换,Google,New,,No,"首先的想法：从左往右找第一个数字，它的右边有比他更大的数字。从这些数字中，找最大的、最靠右边的
实现；从右往左遍历。如果遇到更大的数字，更新最大数字；如果当前数字比当前的最大数字小，则可以是一个答案",
,3623. 统计梯形的数目 I,Google,New,,Yes,,
,3481. 应用替换,Google,New,,No,记忆化搜索,
,540. 有序数组中的单一元素,Google,New,❤️,Yes,二分查找。首先是观察符合条件的元素都在even index上才行,
,6. Z 字形变换,Google,Review,,No,,
,61. 旋转链表,Google,Review,,No,,
,99. 恢复二叉搜索树,Google,New,,No,,
,44. 通配符匹配,Google,New,❤️,Yes,,
,97. 交错字符串,Google,Review,,No,,
,10. 正则表达式匹配,Google,Review,,Yes,"dp[i][j]表示s(0,i-1)与p(0,j-1)匹配. 每次比较s[i], p[j],来确定dp[i+1][j+1]的值

- base case: s为空，p为空，True；s为空，p为x*x*类型，True。如何初始化？从j=1开始遍历，确定dp[0][j+1]的值。只有当p[j]=='*'且 dp[0][j-1]为True时，dp[0][j+1]才为True

- 如果匹配，dp[i+1][j+1]直接为True

- 如果p[j]为*，**且s[i]与p[j-1]匹配**，则有三种可能，匹配一个字母，匹配零个字母，匹配多个字母  

- 如果p[j]为*，且s[i]与p[j-1]不匹配，则看看匹配零个字母这种方案是否可行",
9.27,37. 解数独,"Google, Amazon, Meta",Review,,Yes,"使用三个变量记录状态：rowHas, colHas, boxHas,每个元素的值为True/False
solve(i,j)的意思是填充从(i,j)开始的第一个空余位置。所以在函数开始时，需要移动到下一个空余的位置。
可以使用辅助函数next_position(i,j)来找到下一个坐标. 如果到了尽头，返回(9,0)即可
solve函数最后返回False。终止的条件是：solve(next_i, next_j)为True，或者next_i==9, 意思是不还原了",
,204. 计数质数,Google,Review,,No,,
,1482. 制作 m 束花所需的最少天数,"Google, Amazon, Meta",New,,No,review 一下check函数怎么写,
